Samp_Name	Tot_Samp_Reads	Unassigned_Step_One	Assigned_Step_Three	Unassigned_Step_Three
DRR127488	33627298	1319414	29524697	4102601
DRR127524	32847225	706647	26462998	6384227
DRR127532	13549896	537539	11261564	2288332
DRR127535	12409980	299393	10668105	1741875
DRR127537	18163858	586119	16443096	1720762
DRR127546	38889362	1613606	35371228	3518134
DRR127552	12542836	506782	10590968	1951868
DRR127583	20280640	621386	17287218	2993422
DRR127588	7086715	238189	6240863	845852
DRR127596	16024433	1224894	13846986	2177447
DRR127597	14789786	449713	12671395	2118391
DRR127613	17257878	337178	15024579	2233299
DRR127616	19679151	517884	17806405	1872746
DRR127619	14443631	706867	12784157	1659474
DRR127628	17940056	542952	16337975	1602081
DRR127634	28673933	900997	21019311	7654622
DRR127649	17203345	1109693	14616157	2587188
DRR127672	17705759	439626	16044502	1661257
DRR127683	18043831	595412	16709551	1334280
DRR127692	15602409	283692	14252721	1349688
DRR127704	17216282	657122	14991750	2224532
DRR127707	25182769	819236	22834751	2348018
DRR127713	19605565	583620	18037566	1567999
DRR127721	18645893	611893	17205859	1440034
DRR127724	26380476	729035	23148448	3232028
DRR127728	22694182	723382	20338223	2355959
DRR127731	27979407	940405	25355458	2623949
DRR127736	18346344	851669	16601808	1744536
DRR127748	15457033	577734	14121862	1335171
DRR127751	25248778	1628330	21016413	4232365
DRR127752	21840161	908694	19706421	2133740
DRR127755	19017179	833850	16753357	2263822
DRR127756	19311386	1547959	16333226	2978160
DRR127762	21531846	791091	14061871	7469975
DRR127763	19578576	707439	16228530	3350046
DRR127776	25184624	759561	22492871	2691753
DRR127777	24615946	828217	22379019	2236927
DRR162775	16825434	464749	15341155	1484279
DRR162776	10660525	380181	9595643	1064882
DRR171467	29630278	1638306	26363333	3266945
DRR171469	20311399	635130	17167821	3143578
DRR171474	14784629	424388	12347025	2437604
DRR171477	16986136	660656	15002691	1983445
DRR171479	13239372	542027	11453366	1786006
DRR171487	14942562	515188	12208641	2733921
DRR171488	18098968	308529	16805406	1293562
DRR171497	21151187	634484	18971838	2179349
DRR171499	23562688	523607	21535798	2026890
DRR171500	24173841	1241756	21646829	2527012
DRR171503	24352925	1628288	20923120	3429805
DRR171506	18774543	431210	17052560	1721983
DRR171509	20185202	1231358	16658189	3527013
DRR171513	12774708	424832	11567900	1206808
DRR171514	14675143	477340	12893252	1781891
DRR171515	18746910	545250	16662763	2084147
DRR171517	10594871	206927	7188519	3406352
DRR171518	8358778	442256	6957035	1401743
DRR171523	12457266	310655	11234776	1222490
DRR171525	12643819	347966	11138198	1505621
DRR171527	17275947	452389	13442344	3833603
DRR171530	11427497	433876	10316954	1110543
DRR171538	21514156	548915	18951926	2562230
DRR171539	12993113	571480	11170890	1822223
DRR171543	10414508	193596	6511339	3903169
DRR171545	10219221	922148	8024491	2194730
DRR171546	23498474	1075813	18287645	5210829
DRR171552	17607247	354321	16206574	1400673
DRR171555	16610108	544063	14554175	2055933
DRR171560	7277670	183318	6541624	736046
DRR171563	14787315	647270	12694145	2093170
DRR171567	17397114	617277	15537019	1860095
DRR171568	11306479	376113	9072764	2233715
DRR171569	14436280	532239	12656748	1779532
DRR171571	14784235	599459	13118139	1666096
DRR171572	19447660	828806	16943893	2503767
DRR171576	313342	19526	199012	114330
DRR171578	18457669	822685	16194371	2263298
DRR171580	21256872	422750	18345457	2911415
DRR171581	25292864	774437	23352383	1940481
DRR171585	17900392	709335	15563969	2336423
DRR171586	15907042	603122	14077908	1829134
DRR171587	16990158	464428	15136795	1853363
DRR171588	22761524	681050	20691972	2069552
DRR171589	7999319	440601	6858911	1140408
DRR171591	18761698	722494	15931856	2829842
DRR171592	16495827	507702	15009159	1486668
DRR171594	22473319	622134	20950466	1522853
DRR171598	19168914	714414	15828996	3339918
DRR171599	17354220	613190	15618111	1736109
DRR171601	20384696	1787980	15820333	4564363
DRR171604	18705929	1328258	15810359	2895570
DRR171605	17401529	909099	15184004	2217525
DRR171606	20542406	792956	18279107	2263299
DRR171607	19333243	496519	16177355	3155888
DRR171608	19802238	738230	17694003	2108235
DRR171610	22189902	1511998	17788735	4401167
DRR171613	21754717	612369	19614669	2140048
DRR171616	23224108	611193	21436325	1787783
DRR171617	23450644	250592	20702179	2748465
DRR171619	22347804	668365	19971013	2376791
DRR171620	20018674	754312	17701935	2316739
DRR171621	18404219	646848	16113860	2290359
DRR171623	21415945	404908	20153265	1262680
DRR171624	22031799	666060	19973402	2058397
DRR171625	23025175	757658	20568362	2456813
DRR171626	11143684	223605	9589921	1553763
DRR171628	28059417	1153404	24803632	3255785
DRR171629	32763789	1495284	28688289	4075500
DRR171631	21494939	820832	19080575	2414364
DRR171637	22725379	1017266	19850606	2874773
DRR171639	24628503	1325511	21541005	3087498
DRR171640	32638856	1675905	29220425	3418431
DRR171641	18889232	789228	16624174	2265058
DRR171642	21473319	1033699	19092192	2381127
DRR171643	19024752	773212	16838831	2185921
DRR171644	20493017	489606	18706551	1786466
DRR171645	24638922	736825	21820528	2818394
DRR171646	18476036	761112	15581734	2894302
DRR171647	9139536	496177	7835221	1304315
DRR171648	20106781	732758	18022871	2083910
DRR171650	14314048	653985	12609342	1704706
DRR171651	19101246	1495079	15620186	3481060
DRR171652	17866167	530647	15472088	2394079
DRR171653	6122226	488287	3919746	2202480
DRR171654	14911884	510271	13304684	1607200
DRR171655	20509501	779038	18115226	2394275
DRR171656	11813228	864825	8745735	3067493
DRR171657	18777938	649825	15866733	2911205
DRR171659	21973503	751978	19931903	2041600
DRR171662	13310646	448183	11812596	1498050
DRR171663	7505256	267173	6573414	931842
DRR171673	21532336	1088161	18384524	3147812
DRR171676	20295125	537787	17953042	2342083
DRR171686	21312804	728973	17758612	3554192
DRR171689	13587190	429851	11843953	1743237
DRR171691	21510510	728458	19369802	2140708
DRR171694	20780412	569224	19160878	1619534
DRR171698	21566693	637605	19156445	2410248
DRR171700	15693295	440515	14280730	1412565
DRR171705	13956271	514186	11849119	2107152
DRR171710	19690673	1777367	16579448	3111225
DRR171711	17753999	921066	15607176	2146823
DRR171712	18814520	954527	15707060	3107460
DRR171713	19084047	651927	17005993	2078054
DRR171714	20210455	456957	17871800	2338655
DRR171715	20991999	746147	18971244	2020755
DRR171716	18581296	1051819	15929462	2651834
DRR171717	15858988	474755	13891271	1967717
DRR171718	1871384	110898	1266373	605011
DRR171719	23759273	893601	21647688	2111585
DRR171720	18406498	881594	15391057	3015441
DRR171721	1928195	152234	1503190	425005
DRR171722	17142288	448175	15579746	1562542
DRR171723	15032198	403776	12226845	2805353
DRR171724	34822435	1181997	31682040	3140395
DRR171725	20211891	580074	18465530	1746361
DRR171726	14830402	494894	13297426	1532976
DRR171727	27336534	532445	24389903	2946631
DRR171733	29330560	919290	26672006	2658554
DRR171737	19379038	754912	17110006	2269032
DRR171741	31365722	1358239	27706385	3659337
DRR171745	10315430	430582	8489197	1826233
DRR171747	23213453	927382	19930114	3283339
DRR171755	27139733	827449	21861320	5278413
DRR171762	24626468	933680	19552905	5073563
DRR171763	16084774	371603	14390131	1694643
DRR171765	17299056	643787	15418799	1880257
DRR171770	22979171	942185	20361212	2617959
DRR171771	11363338	226970	10434532	928806
DRR171772	11458923	455540	9933278	1525645
DRR171773	19071981	695509	13756677	5315304
DRR171777	30631213	875336	26642621	3988592
DRR171779	24026863	952307	20982456	3044407
DRR171782	20956023	676258	18967768	1988255
DRR171783	33194805	1910240	29461837	3732968
DRR171786	30566266	1051341	25267485	5298781
DRR171791	20212794	705389	17038139	3174655
DRR171793	18803338	1103100	16344772	2458566
DRR171796	18774894	506439	17406622	1368272
DRR171798	15433409	584955	14038095	1395314
DRR171801	16084603	366699	14523592	1561011
DRR171802	14050584	566854	12527591	1522993
DRR171807	19223569	488857	17776076	1447493
DRR171810	16969075	617037	13997010	2972065
DRR171812	13732509	360740	12146788	1585721
DRR171813	16947141	446404	15635804	1311337
DRR171816	15888487	556590	14500170	1388317
DRR171817	14997421	578502	13167334	1830087
DRR171821	16920787	836375	14581348	2339439
DRR171825	15952428	687645	14168888	1783540
DRR171829	19845339	643221	18066285	1779054
DRR171833	18114760	919837	16054011	2060749
DRR171834	17220826	421236	15481869	1738957
DRR171838	14746330	373590	13494575	1251755
DRR171840	16570014	548985	15121088	1448926
DRR171842	17808796	700144	16085448	1723348
DRR171843	17761510	609014	14769812	2991698
DRR171845	19237045	339898	17497151	1739894
DRR171849	27505920	981374	24334029	3171891
DRR171850	16061850	972416	13191852	2869998
DRR171852	23820352	615717	21483865	2336487
DRR171855	17174652	362335	13969317	3205335
DRR171856	16905190	792858	15226831	1678359
DRR171862	19030070	616032	17265763	1764307
DRR171863	13753654	586275	11863292	1890362
DRR171864	18305695	301061	16295520	2010175
DRR171865	19399357	830245	16904878	2494479
DRR171870	14171043	570768	11907846	2263197
DRR171872	15972881	380567	14708348	1264533
DRR171876	20636839	309897	18845514	1791325
DRR171886	19516099	707326	17599721	1916378
DRR171890	17524344	522930	15688763	1835581
DRR171897	33697729	1431237	28997605	4700124
DRR171899	13200035	705819	11448859	1751176
DRR171902	2122120	107423	1189790	932330
DRR171915	21581171	1208740	18641462	2939709
DRR171919	19028189	358819	16867279	2160910
DRR171921	31625556	831429	28582501	3043055
DRR171922	22479363	822281	20179766	2299597
DRR171923	22404367	1021820	19710509	2693858
DRR171925	25179860	1020555	22553155	2626705
DRR171928	19362561	756707	17064679	2297882
DRR171930	24074903	3184294	19404560	4670343
DRR171931	22875715	849801	20307530	2568185
DRR171933	28699120	1326719	24577198	4121922
DRR171934	20139495	326598	10192494	9947001
DRR171935	22388127	925442	20005949	2382178
DRR171936	15611537	600735	13750181	1861356
DRR171938	23548065	733662	21199266	2348799
DRR171939	23702016	1369266	20974620	2727396
DRR171941	16363832	1089784	14117981	2245851
DRR171942	13980914	407216	12182889	1798025
DRR171943	22396877	637874	20305433	2091444
DRR171948	19483544	698764	16927446	2556098
DRR171950	24060127	986041	21267129	2792998
DRR171951	24389376	769435	22317961	2071415
DRR171952	6764075	198356	5852200	911875
DRR171953	30368219	1313694	27109002	3259217
DRR171954	27703355	1216282	22628991	5074364
DRR171957	20665634	575816	17288945	3376689
DRR171959	23465055	883060	20546555	2918500
DRR171964	25881038	951479	22974582	2906456
DRR171965	20878202	1289690	18132516	2745686
DRR173016	14617816	529655	11652870	2964946
DRR173017	13273762	551296	11222972	2050790
