Samp_Name	Tot_Samp_Reads	Unassigned_Step_One	Assigned_Step_Three	Unassigned_Step_Three
121818-SC-Day1	24328068	1046247	22904725	1423343
121818-SC-Day2	19156535	870971	17961674	1194861
121818-SC-Day3	21050134	906436	19816995	1233139
SCV2-Week1-Mouse10	32050028	1586811	29993544	2056484
SCV2-Week1-Mouse11	38702426	2010164	36111302	2591124
SCV2-Week1-Mouse12	35451125	1903338	33035730	2415395
SCV2-Week1-Mouse13	34837742	1786939	32519183	2318559
SCV2-Week1-Mouse14	22940969	1133371	21501352	1439617
SCV2-Week1-Mouse16	21503841	938279	20277051	1226790
SCV2-Week1-Mouse17	24783472	1210547	23207058	1576414
SCV2-Week1-Mouse18	9051606	403505	8520826	530780
SCV2-Week1-Mouse19	30155740	1261477	28514817	1640923
SCV2-Week1-Mouse1	37202086	1918211	34783306	2418780
SCV2-Week1-Mouse20	27891545	1174443	26356927	1534618
SCV2-Week1-Mouse2	27642266	1337503	25893978	1748288
SCV2-Week1-Mouse3	11594362	548074	10877935	716427
SCV2-Week1-Mouse4	22214008	1070881	20818743	1395265
SCV2-Week1-Mouse5	28448007	1357679	26666132	1781875
SCV2-Week1-Mouse6	38582723	1965649	36084032	2498691
SCV2-Week1-Mouse7	23520073	1185987	22005160	1514913
SCV2-Week1-Mouse8	32799678	1649763	30703965	2095713
SCV2-Week1-Mouse9	24821818	993373	23413003	1408815
SCV2-Week3-Mouse10	26909055	1402931	25115211	1793844
SCV2-Week3-Mouse11	18655122	1085396	17276437	1378685
SCV2-Week3-Mouse12	23475494	1298385	21812641	1662853
SCV2-Week3-Mouse13	20295227	1070094	18905319	1389908
SCV2-Week3-Mouse14	30798928	1626189	28754155	2044773
SCV2-Week3-Mouse15	18125623	1011008	16853839	1271784
SCV2-Week3-Mouse16	26290601	1415435	24483667	1806934
SCV2-Week3-Mouse17	31811380	1752934	29575636	2235744
SCV2-Week3-Mouse18	24490885	1382502	22726556	1764329
SCV2-Week3-Mouse19	11980210	650072	11143799	836411
SCV2-Week3-Mouse1	31185548	1599326	29158440	2027108
SCV2-Week3-Mouse20	20934595	1183164	19429901	1504694
SCV2-Week3-Mouse2	21075507	1143071	19612157	1463350
SCV2-Week3-Mouse3	32120650	1453743	30251980	1868670
SCV2-Week3-Mouse4	31076456	1648157	28987981	2088475
SCV2-Week3-Mouse5	34708127	1787583	32443738	2264389
SCV2-Week3-Mouse6	37638462	1944733	35146260	2492202
SCV2-Week3-Mouse7	17710496	954824	16480496	1230000
SCV2-Week3-Mouse8	22007495	1121314	20551486	1456009
SCV2-Week3-Mouse9	29424956	1215765	27805070	1619886
SCV2-Week4-Mouse10	32412562	1675589	30225803	2186759
SCV2-Week4-Mouse11	24453998	1350717	22722991	1731007
SCV2-Week4-Mouse12	22158704	1158881	20672226	1486478
SCV2-Week4-Mouse14	27645835	1505963	25720238	1925597
SCV2-Week4-Mouse15	28814652	1631484	26741835	2072817
SCV2-Week4-Mouse16	28529956	1575309	26525769	2004187
SCV2-Week4-Mouse17	25799546	1449837	23969839	1829707
SCV2-Week4-Mouse18	15667016	866923	14560244	1106772
SCV2-Week4-Mouse19	24874829	1328786	23175547	1699282
SCV2-Week4-Mouse1	22332736	1188695	20825751	1506985
SCV2-Week4-Mouse20	29907917	1642430	27818533	2089384
SCV2-Week4-Mouse2	22278734	1073351	20881828	1396906
SCV2-Week4-Mouse3	23750555	1231344	22183366	1567189
SCV2-Week4-Mouse4	27249931	1447562	25420215	1829716
SCV2-Week4-Mouse5	22340168	1170022	20848090	1492078
SCV2-Week4-Mouse6	36126204	2003481	33573911	2552293
SCV2-Week4-Mouse7	37789466	2190670	34992269	2797197
SCV2-Week4-Mouse8	23045796	1252843	21420841	1624955
SCV2-Week4-Mouse9	35709887	1522382	33638401	2071486
SCV2-Week5-Mouse10	29934000	1644193	27841289	2092711
SCV2-Week5-Mouse11	21734720	1384735	19999710	1735010
SCV2-Week5-Mouse12	29687172	1601410	27659072	2028100
SCV2-Week5-Mouse13	10198124	561713	9472530	725594
SCV2-Week5-Mouse14	29972726	1671122	27861968	2110758
SCV2-Week5-Mouse15	28965960	1706635	26812081	2153879
SCV2-Week5-Mouse16	21010603	1514246	19112458	1898145
SCV2-Week5-Mouse17	22811316	1674778	20715781	2095535
SCV2-Week5-Mouse18	23028958	1591823	21017417	2011541
SCV2-Week5-Mouse19	21262699	1481120	19371398	1891301
SCV2-Week5-Mouse1	24275948	1295694	22643124	1632824
SCV2-Week5-Mouse20	2720335	209558	2444941	275394
SCV2-Week5-Mouse2	32196554	1227152	30515900	1680654
SCV2-Week5-Mouse3	37867792	2137945	35142846	2724946
SCV2-Week5-Mouse4	22834288	1185287	21327958	1506330
SCV2-Week5-Mouse5	21427941	1175635	19870911	1557030
SCV2-Week5-Mouse6	28699549	1641605	26627542	2072007
SCV2-Week5-Mouse7	22890161	1409296	21112874	1777287
SCV2-Week5-Mouse8	19449604	1054872	18098782	1350822
SCV2-Week5-Mouse9	17017159	981914	15770869	1246290
SCV2-Week6-Mouse10	5460058	321841	5046432	413626
SCV2-Week6-Mouse11	3140281	220579	2852404	287877
SCV2-Week6-Mouse12	28604084	1748450	26334442	2269642
SCV2-Week6-Mouse14	23601217	1504351	21682639	1918578
SCV2-Week6-Mouse15	5240579	371942	4754768	485811
SCV2-Week6-Mouse16	23899307	1677699	21800455	2098852
SCV2-Week6-Mouse17	24084211	1361960	22242495	1841716
SCV2-Week6-Mouse18	19498640	1085734	18050342	1448298
SCV2-Week6-Mouse19	27958344	1517116	25895210	2063134
SCV2-Week6-Mouse1	27952664	1325122	26124531	1828133
SCV2-Week6-Mouse20	9997433	568360	9202475	794958
SCV2-Week6-Mouse2	29719512	1334954	27832614	1886898
SCV2-Week6-Mouse3	33411637	1843032	30975079	2436558
SCV2-Week6-Mouse4	34560007	1599583	32393650	2166357
SCV2-Week6-Mouse5	14661788	715691	13652493	1009295
SCV2-Week6-Mouse6	28969875	1493066	27063344	1906531
SCV2-Week6-Mouse7	24078695	1435659	22259217	1819478
SCV2-Week6-Mouse8	20010045	1047280	18661640	1348405
SCV2-Week6-Mouse9	27090013	1346937	25319356	1770657
SCV2-Week7-Mouse10	30117424	1684492	27973321	2144103
SCV2-Week7-Mouse11	2189165	104436	2039311	149854
SCV2-Week7-Mouse12	6977940	419582	6417270	560670
SCV2-Week7-Mouse13	20423763	1176756	18889589	1534174
SCV2-Week7-Mouse14	23554044	1425396	21734014	1820030
SCV2-Week7-Mouse15	30361234	1822668	28023422	2337812
SCV2-Week7-Mouse16	26852058	1821597	24575649	2276409
SCV2-Week7-Mouse17	16895359	968866	15579269	1316090
SCV2-Week7-Mouse18	27144360	1538096	25070382	2073978
SCV2-Week7-Mouse19	31645724	1778477	29268013	2377711
SCV2-Week7-Mouse1	18223956	901881	17071500	1152456
SCV2-Week7-Mouse20	29234117	1663644	26988797	2245320
SCV2-Week7-Mouse2	20743905	909668	19457025	1286880
SCV2-Week7-Mouse3	31335528	1514221	29359244	1976284
SCV2-Week7-Mouse4	25748154	1336894	24066790	1681364
SCV2-Week7-Mouse5	451132	28636	405645	45487
SCV2-Week7-Mouse6	41663475	2173044	38880687	2782788
SCV2-Week7-Mouse7	30430403	1841751	28083640	2346763
SCV2-Week7-Mouse8	40199822	2070683	37515124	2684698
SCV2-Week7-Mouse9	20241002	1098030	18818729	1422273
SCV2-Week8-Mouse10-Cecum	15089986	930123	13895046	1194940
SCV2-Week8-Mouse10-Small-Intestine	3032433	72839	2913571	118862
SCV2-Week8-Mouse10	29635598	1699802	27462942	2172656
SCV2-Week8-Mouse11-Cecum	24633012	1145342	23092861	1540151
SCV2-Week8-Mouse11-Small-Intestine	1896049	38624	1829125	66924
SCV2-Week8-Mouse11	5926884	267499	5556732	370152
SCV2-Week8-Mouse12-Cecum	20420149	1109455	18961645	1458504
SCV2-Week8-Mouse12-Small-Intestine	1050457	34688	991841	58616
SCV2-Week8-Mouse12	33007440	1964715	30478281	2529159
SCV2-Week8-Mouse13-Cecum	16861312	890139	15690986	1170326
SCV2-Week8-Mouse13-Small-Intestine	2298173	66836	2196544	101629
SCV2-Week8-Mouse13	25102344	1452087	23234998	1867346
SCV2-Week8-Mouse14-Cecum	26814521	1430842	24951303	1863218
SCV2-Week8-Mouse14-Small-Intestine	746399	30322	691777	54622
SCV2-Week8-Mouse14	22013235	1222332	20421593	1591642
SCV2-Week8-Mouse15-Cecum	13681920	779291	12655081	1026839
SCV2-Week8-Mouse15-Small-Intestine	1671241	73706	1560039	111202
SCV2-Week8-Mouse15	32399579	1807058	30052563	2347016
SCV2-Week8-Mouse16-Cecum	25496231	1702152	23377791	2118440
SCV2-Week8-Mouse16-Small-Intestine	5437417	115364	5248331	189086
SCV2-Week8-Mouse16	6586316	444294	6022230	564086
SCV2-Week8-Mouse17-Cecum	25209778	1444326	23260101	1949677
SCV2-Week8-Mouse17-Small-Intestine	309498	9417	285528	23970
SCV2-Week8-Mouse17	22282359	1262492	20578754	1703605
SCV2-Week8-Mouse18-Cecum	17271523	1026205	15892424	1379099
SCV2-Week8-Mouse18-Small-Intestine	3392904	67359	3279549	113355
SCV2-Week8-Mouse18	8408541	476686	7747924	660617
SCV2-Week8-Mouse19-Cecum	7750655	477143	7056839	693816
SCV2-Week8-Mouse19	25854166	1468133	23888593	1965573
SCV2-Week8-Mouse1-Cecum	25714298	1512198	23810228	1904070
SCV2-Week8-Mouse1-Small-Intestine	4167703	121759	3989157	178546
SCV2-Week8-Mouse1	31397559	1516625	29454236	1943323
SCV2-Week8-Mouse20-Cecum	8844616	531957	8081727	762889
SCV2-Week8-Mouse20	24781009	1373149	22915876	1865133
SCV2-Week8-Mouse2-Cecum	30263992	1402848	28281078	1982914
SCV2-Week8-Mouse2-Small-Intestine	1375183	26948	1324242	50941
SCV2-Week8-Mouse2	28251876	1190111	26581548	1670328
SCV2-Week8-Mouse3-Cecum	29449585	1528937	27524303	1925282
SCV2-Week8-Mouse3-Small-Intestine	7480951	197234	7193299	287652
SCV2-Week8-Mouse3	26887909	1241697	25300275	1587634
SCV2-Week8-Mouse4-Cecum	24730360	1441567	22912896	1817464
SCV2-Week8-Mouse4-Small-Intestine	1550648	38627	1482634	68014
SCV2-Week8-Mouse4	6570660	320924	6148022	422638
SCV2-Week8-Mouse5-Cecum	337390	20110	302371	35019
SCV2-Week8-Mouse5-Small-Intestine	1050567	39605	984483	66084
SCV2-Week8-Mouse5	23926176	1150465	22418726	1507450
SCV2-Week8-Mouse6-Cecum	19584415	1225693	18032683	1551732
SCV2-Week8-Mouse6-Small-Intestine	4019379	111267	3849909	169470
SCV2-Week8-Mouse6	15143128	1018258	13867839	1275289
SCV2-Week8-Mouse7-Cecum	7566245	423901	7013352	552893
SCV2-Week8-Mouse7-Small-Intestine	5196860	112566	5023676	173184
SCV2-Week8-Mouse7	31330460	1938962	28880235	2450225
SCV2-Week8-Mouse8-Cecum	3455673	187513	3202492	253181
SCV2-Week8-Mouse8-Small-Intestine	2684296	64023	2584025	100271
SCV2-Week8-Mouse8	27149343	1533671	25165526	1983817
SCV2-Week8-Mouse9-Cecum	28838566	1535770	26847534	1991032
SCV2-Week8-Mouse9-Small-Intestine	2166183	90980	2035897	130286
SCV2-Week8-Mouse9	13066	792	7163	5903
SCV2-Week8-MouseSI19	4692738	95137	4539933	152805
SCV2-Week8-MouseSI20	2986004	69406	2874181	111823
